Rank,Temperature,Category1,Category2,Name,Short Name,Size,Calories,Calories_Modified,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,Matcha Green Tea Crème Frappuccino®,,Grande,410,455,62,https://globalassets.starbucks.com/assets/4de2afd14f3343b6a140c904e1b4a63a.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,Smoked Butterscotch Crème Frappuccino®,,Grande,380,380,46,https://globalassets.starbucks.com/assets/359a836c0e13467984667d32750eef57.jpg,,,,,,,,,
35,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,Strawberry Frappuccino®,,Grande,370,382.5,52,https://globalassets.starbucks.com/assets/d878ff7923b54881a4076de8a0269546.jpg,,,,,,,,,
18,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,Vanilla Bean Crème Frappuccino®,,Grande,370,385,53,https://globalassets.starbucks.com/assets/b68fa7003557464a8abfaf3e04e2704b.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,White Chocolate Crème Frappuccino®,,Grande,380,387.5,50,https://globalassets.starbucks.com/assets/b29b977606704ff9a0238600231faf9c.jpg,,,,,,,,,
,Hot,Hot Coffees,Americanos,Blonde Caffè Americano,Blonde Caffè Americano,Grande,15,15,0,https://globalassets.starbucks.com/assets/ae11e1ff43824e95982e7300f35f44c3.jpg,,,,,,,,,
20,Hot,Hot Coffees,Americanos,Caffè Americano,Caffè Americano,Grande,15,17.5,0,https://globalassets.starbucks.com/assets/f12bc8af498d45ed92c5d6f1dac64062.jpg,,,,,,,,,
22,Hot,Hot Coffees,Brewed Coffees,Blonde Roast,,Grande,5,0,0,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,,,,,,,,,
,Hot,Hot Coffees,Brewed Coffees,Caffè Misto,,Grande,110,110,10,https://globalassets.starbucks.com/assets/d668acbc691b47249548a3eeac449916.jpg,,,,,,,,,
,Hot,Hot Coffees,Brewed Coffees,Decaf Pike Place® Roast,,Grande,5,112.5,0,https://globalassets.starbucks.com/assets/51bf549cd8e9434da941fec33b820d39.jpg,,,,,,,,,
23,Hot,Hot Coffees,Brewed Coffees,Featured Dark Roast Coffee,,Grande,5,115,0,https://globalassets.starbucks.com/assets/0279f9c5fa5941d2a65dd183d7a0b386.jpg,,,,,,,,,
21,Hot,Hot Coffees,Brewed Coffees,Pike Place® Roast,,Grande,5,117.5,0,https://globalassets.starbucks.com/assets/bffaf0f27e124801abcabe09f05b0fb2.jpg,,,,,,,,,
,Hot,Hot Coffees,Cappuccinos,Blonde Cappuccino,,Grande,120,120,10,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,,,,,,,,,
26,Hot,Hot Coffees,Cappuccinos,Cappuccino,,Grande,120,122.5,10,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,,,,,,,,,
,Hot,Hot Coffees,Espresso Shots,Espresso,Espresso,Doppio,10,10,0,https://globalassets.starbucks.com/assets/ec519dd5642c41629194192cce582135.jpg,,,,,,,,,
,Hot,Hot Coffees,Espresso Shots,Espresso con Panna,,Doppio,35,35,1,https://globalassets.starbucks.com/assets/e9330b18ae524e69bdcbe97460d6f5bb.jpg,,,,,,,,,
