Rank,Category1,Category2,Name,Size,Calories,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
20,Hot Coffees,Americanos,Caffè Americano,Tall,10,0,https://globalassets.starbucks.com/assets/f12bc8af498d45ed92c5d6f1dac64062.jpg,,,,,,,,,
20,Hot Coffees,Americanos,Caffè Americano,Grande,15,0,https://globalassets.starbucks.com/assets/f12bc8af498d45ed92c5d6f1dac64062.jpg,,,,,,,,,
20,Hot Coffees,Americanos,Caffè Americano,Venti,15,0,https://globalassets.starbucks.com/assets/f12bc8af498d45ed92c5d6f1dac64062.jpg,,,,,,,,,
,Hot Coffees,Americanos,Starbucks® Blonde Caffè Americano,Short,5,0,https://globalassets.starbucks.com/assets/ae11e1ff43824e95982e7300f35f44c3.jpg,,,,,,,,,
,Hot Coffees,Americanos,Starbucks® Blonde Caffè Americano,Tall,10,0,https://globalassets.starbucks.com/assets/ae11e1ff43824e95982e7300f35f44c3.jpg,,,,,,,,,
,Hot Coffees,Americanos,Starbucks® Blonde Caffè Americano,Grande,15,0,https://globalassets.starbucks.com/assets/ae11e1ff43824e95982e7300f35f44c3.jpg,,,,,,,,,
,Hot Coffees,Americanos,Starbucks® Blonde Caffè Americano,Venti,15,0,https://globalassets.starbucks.com/assets/ae11e1ff43824e95982e7300f35f44c3.jpg,,,,,,,,,
21,Hot Coffees,Brewed Coffees,Pike Place® Roast,Short,5,0,https://globalassets.starbucks.com/assets/bffaf0f27e124801abcabe09f05b0fb2.jpg,,,,,,,,,
21,Hot Coffees,Brewed Coffees,Pike Place® Roast,Tall,5,0,https://globalassets.starbucks.com/assets/bffaf0f27e124801abcabe09f05b0fb2.jpg,,,,,,,,,
21,Hot Coffees,Brewed Coffees,Pike Place® Roast,Grande,5,0,https://globalassets.starbucks.com/assets/bffaf0f27e124801abcabe09f05b0fb2.jpg,,,,,,,,,
21,Hot Coffees,Brewed Coffees,Pike Place® Roast,Venti,5,0,https://globalassets.starbucks.com/assets/bffaf0f27e124801abcabe09f05b0fb2.jpg,,,,,,,,,
22,Hot Coffees,Brewed Coffees,Blonde Roast,Short,5,0,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,,,,,,,,,
22,Hot Coffees,Brewed Coffees,Blonde Roast,Tall,5,0,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,,,,,,,,,
22,Hot Coffees,Brewed Coffees,Blonde Roast,Grande,5,0,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,,,,,,,,,
22,Hot Coffees,Brewed Coffees,Blonde Roast,Venti,5,0,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,,,,,,,,,
23,Hot Coffees,Brewed Coffees,Featured Starbucks® Dark Roast Coffee,Short,5,0,https://globalassets.starbucks.com/assets/0279f9c5fa5941d2a65dd183d7a0b386.jpg,,,,,,,,,
23,Hot Coffees,Brewed Coffees,Featured Starbucks® Dark Roast Coffee,Tall,5,0,https://globalassets.starbucks.com/assets/0279f9c5fa5941d2a65dd183d7a0b386.jpg,,,,,,,,,
