Beverage_category,Beverage,Notes,Image,Beverage_prep_size,Beverage_prep_milk,Is_default,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Caffeine (mg)
Coffee,Brewed Coffee,,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,Short,,,3,0.1,0,0,0,5,0,0,0,0.3,0%,0%,0%,0%,175
Coffee,Brewed Coffee,,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,Tall,,,4,0.1,0,0,0,10,0,0,0,0.5,0%,0%,0%,0%,260
Coffee,Brewed Coffee,,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,Grande,,Y,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,330
Coffee,Brewed Coffee,,https://globalassets.starbucks.com/assets/abb4f97948c948c28ea2dcaf933c4f6b.jpg,Venti,,,5,0.1,0,0,0,10,0,0,0,1,0%,0%,2%,0%,410
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Short,Nonfat Milk,,70,0.1,0.1,0,5,75,10,0,9,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Short,2% Milk,,100,3.5,2,0.1,15,85,10,0,9,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Short,Soymilk,,70,2.5,0.4,0,0,65,6,1,4,5,6%,0%,20%,8%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Tall,Nonfat Milk,,100,0.2,0.2,0,5,120,15,0,14,10,15%,0%,30%,0%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Tall,2% Milk,,150,6,3,0.2,25,135,15,0,14,10,15%,0%,30%,0%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Tall,Soymilk,,110,4.5,0.5,0,0,105,10,1,6,8,10%,0%,30%,15%,75
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Grande,Nonfat Milk,,130,0.3,0.2,0,5,150,19,0,18,13,20%,0%,40%,0%,150
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Grande,2% Milk,Y,190,7,3.5,0.2,30,170,19,0,17,12,20%,2%,40%,0%,150
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Grande,Soymilk,,150,5,0.5,0,0,130,13,1,8,10,15%,0%,40%,15%,150
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Venti,Nonfat Milk,,170,0.4,0.3,0,10,190,25,0,23,16,30%,0%,50%,0%,150
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Venti,2% Milk,,240,9,4.5,0.3,35,220,24,0,22,16,25%,2%,50%,0%,150
Classic Espresso Drinks,Caffè Latte,,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Venti,Soymilk,,190,7,1,0,0,170,16,2,11,13,20%,0%,50%,25%,150
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Short,Nonfat Milk,,110,1.5,1,0,5,60,21,1,17,7,8%,0%,15%,10%,85
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Short,2% Milk,,130,4,2,0.1,10,70,21,1,17,6,8%,0%,15%,10%,85
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Short,Soymilk,,110,3.5,1,0,0,55,19,2,13,6,6%,0%,15%,20%,85
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Tall,Nonfat Milk,,170,2,1,0,5,100,32,1,27,10,15%,0%,25%,20%,95
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Tall,2% Milk,,200,6,3.5,0.1,20,115,32,1,26,10,15%,0%,25%,20%,95
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Tall,Soymilk,,180,5,1.5,0,0,85,28,2,20,9,10%,0%,25%,30%,95
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Grande,Nonfat Milk,,220,2.5,1.5,0,5,125,43,2,34,13,20%,0%,35%,25%,175
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Grande,2% Milk,Y,260,8,4.5,0.2,25,140,42,2,34,13,15%,2%,35%,25%,175
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Grande,Soymilk,,230,7,2,0,0,105,37,3,26,11,10%,0%,35%,40%,175
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Venti,Nonfat Milk,,280,3,2,0,10,160,54,2,44,17,25%,0%,45%,30%,180
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Venti,2% Milk,,340,11,6,0.2,30,180,53,2,43,17,20%,2%,45%,30%,180
Classic Espresso Drinks,Caffè Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/f4ec500b34624242b15c2d29e53f3c48.jpg,Venti,Soymilk,,290,9,2.5,0,0,140,47,4,33,14,15%,0%,45%,50%,180
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Short,Nonfat Milk,,100,0.1,0.1,0,5,70,19,0,18,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Short,2% Milk,,130,3.5,1.5,0.1,15,80,18,0,17,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Short,Soymilk,,110,2.5,0.3,0,0,60,16,1,13,5,6%,0%,20%,8%,75
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Tall,Nonfat Milk,,150,0.2,0.1,0,5,110,28,0,27,9,15%,0%,30%,0%,75
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Tall,2% Milk,,200,5,2.5,0.2,20,125,28,0,27,9,15%,0%,30%,0%,75
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Tall,Soymilk,,160,4,0.5,0,0,95,23,1,20,7,10%,0%,30%,15%,75
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Grande,Nonfat Milk,,200,0.3,0.2,0,5,140,37,0,35,12,20%,0%,35%,0%,150
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Grande,2% Milk,Y,250,6,3.5,0.2,25,150,37,0,35,12,20%,2%,35%,0%,150
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Grande,Soymilk,,210,5,0.5,0,0,120,31,1,26,9,10%,0%,35%,15%,150
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Venti,Nonfat Milk,,250,0.3,0.2,0,10,180,47,0,45,15,25%,0%,50%,0%,150
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Venti,2% Milk,,320,9,4.5,0.3,35,200,46,0,44,15,25%,2%,45%,0%,150
Classic Espresso Drinks,Vanilla Latte,Or Other Flavoured Latte,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Venti,Soymilk,,270,7,1,0,0,160,39,2,33,12,15%,0%,45%,20%,150
Classic Espresso Drinks,Caffè Americano,,https://globalassets.starbucks.com/assets/f12bc8af498d45ed92c5d6f1dac64062.jpg,Short,,,5,0,0,0,0,5,1,0,0,0.4,0%,0%,0%,0%,75
Classic Espresso Drinks,Caffè Americano,,https://globalassets.starbucks.com/assets/f12bc8af498d45ed92c5d6f1dac64062.jpg,Tall,,,10,0,0,0,0,10,2,0,0,1,0%,0%,2%,0%,150
Classic Espresso Drinks,Caffè Americano,,https://globalassets.starbucks.com/assets/f12bc8af498d45ed92c5d6f1dac64062.jpg,Grande,,Y,15,0,0,0,0,15,3,0,0,1,0%,0%,2%,0%,225
Classic Espresso Drinks,Caffè Americano,,https://globalassets.starbucks.com/assets/f12bc8af498d45ed92c5d6f1dac64062.jpg,Venti,,,25,0,0,0,0,15,4,0,0,1,0%,0%,2%,0%,300
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Short,Nonfat Milk,,50,0.1,0.1,0,5,60,8,0,7,5,8%,0%,15%,0%,75
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Short,2% Milk,,80,3,1.5,0.1,10,70,8,0,7,5,8%,0%,15%,0%,75
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Short,Soymilk,,50,1.5,0.2,0,0,40,4,0,3,3,4%,0%,10%,6%,75
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Tall,Nonfat Milk,,60,0.1,0.1,0,5,70,9,0,8,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Tall,2% Milk,,90,3.5,1.5,0.1,15,80,9,0,8,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Tall,Soymilk,,70,3,0.4,0,0,65,7,1,4,5,6%,0%,20%,8%,75
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Grande,Nonfat Milk,,80,0.2,0.1,0,5,90,12,0,10,8,15%,0%,25%,0%,150
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Grande,2% Milk,Y,120,4,2,0.1,15,100,12,0,10,8,10%,0%,25%,0%,150
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Grande,Soymilk,,100,3.5,0.4,0,0,80,9,1,5,7,8%,0%,25%,10%,150
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Venti,Nonfat Milk,,110,0.2,0.2,0,5,120,16,0,14,10,20%,0%,30%,0%,150
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Venti,2% Milk,,150,6,3,0.2,25,135,16,0,14,10,15%,0%,30%,0%,150
Classic Espresso Drinks,Cappuccino,,https://globalassets.starbucks.com/assets/5c515339667943ce84dc56effdf5fc1b.jpg,Venti,Soymilk,,120,4.5,0.5,0,0,110,11,1,7,9,10%,0%,35%,15%,150
Classic Espresso Drinks,Espresso,,https://globalassets.starbucks.com/assets/ec519dd5642c41629194192cce582135.jpg,Solo,Solo,Y,5,0,0,0,0,0,1,0,0,0.4,0%,0%,0%,0%,75
Classic Espresso Drinks,Espresso,,https://globalassets.starbucks.com/assets/ec519dd5642c41629194192cce582135.jpg,Doppio,Doppio,,10,0,0,0,0,1,2,0,0,1,0%,0%,0%,0%,150
Classic Espresso Drinks,Skinny Latte,Any Flavour,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Short,Nonfat Milk,,60,0.1,0.1,0,5,80,9,0,8,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Skinny Latte,Any Flavour,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Tall,Nonfat Milk,,100,0.2,0.1,0,5,125,14,0,13,9,15%,0%,30%,0%,75
Classic Espresso Drinks,Skinny Latte,Any Flavour,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Grande,Nonfat Milk,Y,120,0.3,0.2,0,5,160,18,0,16,12,20%,0%,35%,0%,150
Classic Espresso Drinks,Skinny Latte,Any Flavour,https://globalassets.starbucks.com/assets/b635f407bbcd49e7b8dd9119ce33f76e.jpg,Venti,Nonfat Milk,,160,0.3,0.2,0,10,200,24,0,21,15,25%,0%,50%,0%,150
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Short,Nonfat Milk,,100,1,0.5,0,5,70,17,0,15,6,10%,0%,15%,0%,75
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Short,2% Milk,,120,4,2,0.1,15,80,16,0,15,5,10%,0%,15%,0%,75
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Short,Soymilk,,100,3,1,0,0,60,14,1,11,4,6%,0%,15%,8%,75
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Tall,Nonfat Milk,,140,1,0.5,0,5,105,25,0,24,8,15%,0%,25%,0%,75
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Tall,2% Milk,,180,5,3,0.1,20,115,25,0,23,8,15%,0%,25%,0%,75
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Tall,Soymilk,,150,4.5,1,0,0,90,21,1,17,7,10%,0%,25%,10%,75
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Grande,Nonfat Milk,,190,1,1,0,10,130,35,0,32,11,20%,0%,35%,0%,150
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Grande,2% Milk,Y,240,7,3.5,0.2,25,150,34,0,32,10,15%,2%,30%,0%,150
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Grande,Soymilk,,200,5,1,0,5,115,29,1,24,9,10%,0%,35%,15%,150
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Venti,Nonfat Milk,,240,1,1,0,10,170,43,0,41,13,25%,0%,40%,0%,150
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Venti,2% Milk,,300,8,4.5,0.2,35,180,43,0,40,13,20%,2%,40%,0%,150
Signature Espresso Drinks,Caramel Macchiato,,https://globalassets.starbucks.com/assets/58db701349cb48738069e8c912e2b3ac.jpg,Venti,Soymilk,,250,7,1.5,0,5,140,36,1,31,11,15%,0%,40%,20%,150
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Short,Nonfat Milk,,180,3,2,0,5,120,31,0,29,7,10%,0%,25%,0%,75
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Short,2% Milk,,200,6,3.5,0.1,15,125,31,0,29,7,8%,2%,25%,0%,75
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Short,Soymilk,,180,5,2.5,0,0,110,28,1,25,6,6%,0%,25%,8%,75
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Tall,Nonfat Milk,,270,4.5,3.5,0,5,190,47,0,45,12,15%,2%,35%,0%,75
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Tall,2% Milk,,310,9,6,0.1,20,200,46,0,44,11,15%,2%,35%,0%,75
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Tall,Soymilk,,280,8,3.5,0,0,170,42,1,39,10,10%,2%,35%,10%,75
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Grande,Nonfat Milk,,350,6,4.5,0,10,240,61,0,58,15,20%,2%,45%,2%,150
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Grande,2% Milk,Y,400,11,7,0.2,25,250,61,0,58,15,15%,2%,45%,0%,150
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Grande,Soymilk,,370,10,5,0,0,220,56,1,51,13,10%,2%,45%,15%,150
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Venti,Nonfat Milk,,450,7,6,0,10,310,78,0,74,19,25%,2%,60%,2%,150
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Venti,2% Milk,,510,15,9,0.2,35,330,77,0,74,19,20%,4%,60%,2%,150
Signature Espresso Drinks,White Chocolate Mocha,Without Whipped Cream,https://globalassets.starbucks.com/assets/4b621e63f6ba4c19a8618055284eca8d.jpg,Venti,Soymilk,,460,13,6,0,5,290,70,1,64,16,15%,2%,60%,20%,150
